timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
106,046=3,461=3,171=0,000=0,000=0,000=0,125=0,992
106,116=3,461=3,171=0,000=0,000=0,000=0,125=0,992
106,256=3,461=3,171=0,000=0,000=0,000=0,125=0,992
106,406=3,461=3,171=0,000=0,000=0,000=0,125=0,992
106,486=3,461=3,171=0,000=0,000=0,000=0,125=0,992
106,566=3,461=3,171=0,000=0,000=0,000=0,125=0,992
106,646=3,461=3,171=0,000=0,000=0,000=0,125=0,992
106,716=3,461=3,171=0,000=0,000=0,000=0,125=0,992
106,786=3,461=3,171=0,000=0,000=0,000=0,125=0,992
106,866=3,461=3,171=0,000=0,000=0,000=0,125=0,992
106,946=3,461=3,171=0,000=0,000=0,000=0,125=0,992
107,166=3,461=3,171=0,000=0,000=0,000=0,125=0,992
107,256=3,461=3,171=0,000=0,000=0,000=0,125=0,992
107,406=3,461=3,171=0,000=0,000=0,000=0,125=0,992
107,486=3,461=3,171=0,000=0,000=0,000=0,125=0,992
107,616=3,461=3,171=0,000=0,000=0,000=0,125=0,992
