timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
489,455=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
489,515=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
489,565=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
489,625=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
489,685=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
489,805=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
489,905=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
489,955=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
490,005=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
490,055=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
490,095=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
490,185=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
490,235=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
490,285=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
490,335=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
490,375=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
490,415=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
490,465=-2,802=0,598=0,000=0,000=0,000=-0,994=0,110
490,515=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
490,565=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
490,615=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
490,665=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
490,715=-2,802=0,598=0,000=0,000=0,000=-0,994=0,111
490,765=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
490,825=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
490,875=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
490,915=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
